now,probe_cwnd_before,probe_min_qdel_before,probe_min_qdel_during,s_probe_start_seq,s_probe_inflightmatch_seq,s_probe_first_seq,s_probe_last_seq,probe_excess_amount,probe_excess_qdel,communicated_flow_count,round_max_cruise_rate,bandwidth_estimate,latest_cruise_rate,flow_count_estimate,target_cwnd,probe_cwnd_after
892600,150.50,20100,96600,3062,3617,4172,4222,404,76500,2.01,5016.61,5281.05,5018.08,1.05,102.64,115.77
4478700,116.00,13200,66000,21360,21740,22120,22214,264,52800,1.32,5000.00,5000.00,5000.00,1.00,100.00,100.00
8057600,100.00,12900,38300,37030,37356,37682,37782,226,25400,1.29,4366.81,8897.64,6749.48,2.04,132.64,130.00
11739100,130.00,18500,52300,53440,53908,54376,54476,338,33800,1.85,4561.40,10000.00,7512.04,2.19,145.61,145.61
15507500,146.00,19800,58700,71559,72094,72629,72729,389,38900,1.98,4899.33,10000.00,7787.48,2.04,148.99,148.99
19313100,149.00,20000,59800,90357,90904,91451,91551,398,39800,2.00,4966.67,10000.00,7836.68,2.01,149.67,149.67
23129300,150.00,20100,60200,109391,109942,110493,110593,401,40100,2.01,4983.39,10000.00,7849.00,2.01,149.83,149.83
26936600,150.00,20100,60200,128385,128936,129487,129587,401,40100,2.01,4983.39,10000.00,7849.00,2.01,149.83,149.83
30748000,150.00,20100,60200,147379,147930,148481,148581,401,40100,2.01,4983.39,10000.00,7849.00,2.01,149.83,149.83
34559400,150.00,20100,60200,166373,166924,167475,167575,401,40100,2.01,4983.39,10000.00,7849.00,2.01,149.83,149.83
38370800,150.00,20100,60200,185367,185918,186469,186569,401,40100,2.01,4983.39,10000.00,7849.00,2.01,149.83,149.83
42182200,150.00,20100,60200,204361,204912,205463,205563,401,40100,2.01,4983.39,10000.00,7849.00,2.01,149.83,149.83
45993600,150.00,20100,60200,223355,223906,224457,224557,401,40100,2.01,4983.39,10000.00,7849.00,2.01,149.83,149.83
49805000,150.00,20100,60200,242349,242900,243451,243551,401,40100,2.01,4983.39,10000.00,7849.00,2.01,149.83,149.83
53616400,150.00,20100,60200,261343,261894,262445,262545,401,40100,2.01,4983.39,10000.00,7849.00,2.01,149.83,149.83
