time,event,cwnd
10100,"""SlowStart""",3.00
10300,"""SlowStart""",4.00
20100,"""SlowStart""",5.00
21800,"""SlowStart""",6.00
23100,"""SlowStart""",7.00
24400,"""SlowStart""",8.00
30100,"""SlowStart""",9.00
31100,"""SlowStart""",10.00
32000,"""SlowStart""",11.00
32800,"""SlowStart""",12.00
33500,"""SlowStart""",13.00
34200,"""SlowStart""",14.00
34900,"""SlowStart""",15.00
35500,"""SlowStart""",16.00
40100,"""SlowStart""",17.00
40700,"""SlowStart""",18.00
41200,"""SlowStart""",19.00
41700,"""SlowStart""",20.00
42200,"""SlowStart""",21.00
42600,"""SlowStart""",22.00
43000,"""SlowStart""",23.00
43400,"""SlowStart""",24.00
43800,"""SlowStart""",25.00
44200,"""SlowStart""",26.00
44600,"""SlowStart""",27.00
44900,"""SlowStart""",28.00
45300,"""SlowStart""",29.00
45600,"""SlowStart""",30.00
45900,"""SlowStart""",31.00
46200,"""SlowStart""",32.00
50100,"""SlowStart""",33.00
50400,"""SlowStart""",34.00
50700,"""SlowStart""",35.00
51000,"""SlowStart""",36.00
51300,"""SlowStart""",37.00
51600,"""SlowStart""",38.00
51800,"""SlowStart""",39.00
52100,"""SlowStart""",40.00
52300,"""SlowStart""",41.00
52500,"""SlowStart""",42.00
52800,"""SlowStart""",43.00
53000,"""SlowStart""",44.00
53200,"""SlowStart""",45.00
53400,"""SlowStart""",46.00
53600,"""SlowStart""",47.00
53800,"""SlowStart""",48.00
54000,"""SlowStart""",49.00
54200,"""SlowStart""",50.00
54400,"""SlowStart""",51.00
54600,"""SlowStart""",52.00
54800,"""SlowStart""",53.00
55000,"""SlowStart""",54.00
55200,"""SlowStart""",55.00
55400,"""SlowStart""",56.00
55600,"""SlowStart""",57.00
55800,"""SlowStart""",58.00
56000,"""SlowStart""",59.00
56200,"""SlowStart""",60.00
56400,"""SlowStart""",61.00
56600,"""SlowStart""",62.00
56800,"""SlowStart""",63.00
57000,"""SlowStart""",64.00
60100,"""SlowStart""",65.00
60300,"""SlowStart""",66.00
60500,"""SlowStart""",67.00
60700,"""SlowStart""",68.00
60900,"""SlowStart""",69.00
61100,"""SlowStart""",70.00
61300,"""SlowStart""",71.00
61500,"""SlowStart""",72.00
61700,"""SlowStart""",73.00
61900,"""SlowStart""",74.00
62100,"""SlowStart""",75.00
62300,"""SlowStart""",76.00
62500,"""SlowStart""",77.00
62700,"""SlowStart""",78.00
62900,"""SlowStart""",79.00
63100,"""SlowStart""",80.00
63300,"""SlowStart""",81.00
63500,"""SlowStart""",82.00
63700,"""SlowStart""",83.00
63900,"""SlowStart""",84.00
64100,"""SlowStart""",85.00
64300,"""SlowStart""",86.00
64500,"""SlowStart""",87.00
64700,"""SlowStart""",88.00
64900,"""SlowStart""",89.00
65100,"""SlowStart""",90.00
65300,"""SlowStart""",91.00
65500,"""SlowStart""",92.00
65700,"""SlowStart""",93.00
65900,"""SlowStart""",94.00
66100,"""SlowStart""",95.00
66300,"""SlowStart""",96.00
66500,"""SlowStart""",97.00
66700,"""SlowStart""",98.00
66900,"""SlowStart""",99.00
67200,"""SlowStart""",100.00
