start_time,end_time,duration,min_qdel,max_qdel,communicated_flow_count,round_max_cruise_rate,latest_cruise_rate,cruise_happened,probe_happened,round_ended,cwnd
167100,627200,460100,20100,49984,2.01,4983.39,4983.39,true,false,false,150.00
627200,888500,261300,20100,20100,2.01,4983.39,4981.92,false,true,false,150.00
888500,1506400,617900,13200,100600,1.32,5000.00,5000.00,true,false,false,116.00
1506400,1856600,350200,13200,13200,1.32,5000.00,5000.00,true,false,false,116.00
1856600,2206200,349600,13200,13200,1.32,5000.00,5000.00,true,false,false,116.00
2206200,2555800,349600,13200,13200,1.32,5000.00,5000.00,true,false,false,116.00
2555800,2905400,349600,13200,13200,1.32,5000.00,5000.00,true,false,false,116.00
2905400,3255000,349600,13200,13200,1.32,5000.00,5000.00,true,false,false,116.00
3255000,3604600,349600,13200,13200,1.32,5000.00,5000.00,true,false,false,116.00
3604600,3954200,349600,13200,13200,1.32,5000.00,5000.00,true,false,true,116.00
3954200,4303800,349600,13200,13200,1.32,5000.00,5000.00,true,false,false,116.00
4303800,4496400,192600,13200,13200,1.32,5000.00,6597.22,false,true,false,116.00
4496400,4947400,451000,12900,47000,1.29,5633.19,5633.19,true,false,false,129.00
4947400,5296100,348700,12900,12900,1.29,5633.19,5633.19,true,false,false,129.00
5296100,5653000,356900,12900,12900,1.29,5633.19,5633.19,true,false,false,129.00
5653000,6001700,348700,12900,12900,1.29,5633.19,5633.19,true,false,false,129.00
6001700,6350400,348700,12900,12900,1.29,5633.19,5633.19,true,false,false,129.00
6350400,6706400,356000,12900,12900,1.29,5633.19,5633.19,true,false,false,129.00
6706400,7055100,348700,12900,12900,1.29,5633.19,5633.19,true,false,false,129.00
7055100,7403800,348700,12900,12900,1.29,5633.19,5633.19,true,false,true,129.00
7403800,7759800,356000,12900,12900,1.29,5633.19,5633.19,true,false,false,129.00
7759800,7896700,136900,12900,12900,1.29,5633.19,8076.92,false,true,false,129.00
7896700,8341900,445200,12900,42000,1.29,6108.95,5470.38,true,false,false,157.00
8341900,8715000,373100,18700,18700,1.29,6108.95,5470.38,true,false,false,157.00
8715000,9088100,373100,18700,18700,1.29,6108.95,5470.38,true,false,false,157.00
9088100,9461200,373100,18700,18700,1.29,6108.95,5470.38,true,false,false,157.00
9461200,9834300,373100,18700,18700,1.29,6108.95,5470.38,true,false,false,157.00
9834300,10207400,373100,18700,18700,1.29,6108.95,5470.38,true,false,false,157.00
10207400,10580500,373100,18700,18700,1.29,6108.95,5470.38,true,false,false,157.00
10580500,10953600,373100,18700,18700,1.29,6108.95,5470.38,true,false,true,157.00
10953600,11326700,373100,18700,18700,1.87,5470.38,5470.38,true,false,false,157.00
11326700,11504800,178100,18700,18700,1.87,5470.38,8134.86,false,true,false,157.00
