time,event,cwnd
100000,"""SlowStart""",3.00
101000,"""SlowStart""",4.00
200000,"""SlowStart""",5.00
217000,"""SlowStart""",6.00
230000,"""SlowStart""",7.00
242000,"""SlowStart""",8.00
300000,"""SlowStart""",9.00
310000,"""SlowStart""",10.00
319000,"""SlowStart""",11.00
327000,"""SlowStart""",12.00
334000,"""SlowStart""",13.00
341000,"""SlowStart""",14.00
348000,"""SlowStart""",15.00
354000,"""SlowStart""",16.00
400000,"""SlowStart""",17.00
406000,"""SlowStart""",18.00
411000,"""SlowStart""",19.00
416000,"""SlowStart""",20.00
421000,"""SlowStart""",21.00
425000,"""SlowStart""",22.00
429000,"""SlowStart""",23.00
433000,"""SlowStart""",24.00
437000,"""SlowStart""",25.00
441000,"""SlowStart""",26.00
445000,"""SlowStart""",27.00
448000,"""SlowStart""",28.00
452000,"""SlowStart""",29.00
455000,"""SlowStart""",30.00
458000,"""SlowStart""",31.00
461000,"""SlowStart""",32.00
500000,"""SlowStart""",33.00
503000,"""SlowStart""",34.00
506000,"""SlowStart""",35.00
509000,"""SlowStart""",36.00
512000,"""SlowStart""",37.00
515000,"""SlowStart""",38.00
517000,"""SlowStart""",39.00
520000,"""SlowStart""",40.00
522000,"""SlowStart""",41.00
524000,"""SlowStart""",42.00
527000,"""SlowStart""",43.00
529000,"""SlowStart""",44.00
531000,"""SlowStart""",45.00
533000,"""SlowStart""",46.00
535000,"""SlowStart""",47.00
537000,"""SlowStart""",48.00
539000,"""SlowStart""",49.00
541000,"""SlowStart""",50.00
543000,"""SlowStart""",51.00
545000,"""SlowStart""",52.00
547000,"""SlowStart""",53.00
549000,"""SlowStart""",54.00
551000,"""SlowStart""",55.00
552000,"""SlowStart""",56.00
554000,"""SlowStart""",57.00
556000,"""SlowStart""",58.00
558000,"""SlowStart""",59.00
559000,"""SlowStart""",60.00
561000,"""SlowStart""",61.00
562000,"""SlowStart""",62.00
564000,"""SlowStart""",63.00
566000,"""SlowStart""",64.00
600000,"""SlowStart""",65.00
602000,"""SlowStart""",66.00
603000,"""SlowStart""",67.00
605000,"""SlowStart""",68.00
606000,"""SlowStart""",69.00
608000,"""SlowStart""",70.00
609000,"""SlowStart""",71.00
611000,"""SlowStart""",72.00
612000,"""SlowStart""",73.00
614000,"""SlowStart""",74.00
615000,"""SlowStart""",75.00
617000,"""SlowStart""",76.00
618000,"""SlowStart""",77.00
619000,"""SlowStart""",78.00
621000,"""SlowStart""",79.00
622000,"""SlowStart""",80.00
623000,"""SlowStart""",81.00
624000,"""SlowStart""",82.00
626000,"""SlowStart""",83.00
627000,"""SlowStart""",84.00
628000,"""SlowStart""",85.00
629000,"""SlowStart""",86.00
630000,"""SlowStart""",87.00
631000,"""SlowStart""",88.00
632000,"""SlowStart""",89.00
634000,"""SlowStart""",90.00
635000,"""SlowStart""",91.00
636000,"""SlowStart""",92.00
637000,"""SlowStart""",93.00
638000,"""SlowStart""",94.00
639000,"""SlowStart""",95.00
640000,"""SlowStart""",96.00
641000,"""SlowStart""",97.00
642000,"""SlowStart""",98.00
643000,"""SlowStart""",99.00
644000,"""SlowStart""",100.00
645000,"""SlowStart""",101.00
646000,"""SlowStart""",102.00
647000,"""SlowStart""",103.00
648000,"""SlowStart""",104.00
649000,"""SlowStart""",105.00
650000,"""SlowStart""",106.00
651000,"""SlowStart""",107.00
652000,"""SlowStart""",108.00
653000,"""SlowStart""",109.00
654000,"""SlowStart""",110.00
655000,"""SlowStart""",111.00
656000,"""SlowStart""",112.00
657000,"""SlowStart""",113.00
658000,"""SlowStart""",114.00
659000,"""SlowStart""",115.00
660000,"""SlowStart""",116.00
661000,"""SlowStart""",117.00
662000,"""SlowStart""",118.00
663000,"""SlowStart""",119.00
664000,"""SlowStart""",120.00
665000,"""SlowStart""",121.00
666000,"""SlowStart""",122.00
667000,"""SlowStart""",123.00
668000,"""SlowStart""",124.00
669000,"""SlowStart""",125.00
670000,"""SlowStart""",126.00
671000,"""SlowStart""",127.00
672000,"""SlowStart""",128.00
700000,"""SlowStart""",129.00
701000,"""SlowStart""",130.00
702000,"""SlowStart""",131.00
703000,"""SlowStart""",132.00
704000,"""SlowStart""",133.00
705000,"""SlowStart""",134.00
706000,"""SlowStart""",135.00
707000,"""SlowStart""",136.00
708000,"""SlowStart""",137.00
709000,"""SlowStart""",138.00
710000,"""SlowStart""",139.00
711000,"""SlowStart""",140.00
712000,"""SlowStart""",141.00
713000,"""SlowStart""",142.00
714000,"""SlowStart""",143.00
715000,"""SlowStart""",144.00
716000,"""SlowStart""",145.00
717000,"""SlowStart""",146.00
718000,"""SlowStart""",147.00
719000,"""SlowStart""",148.00
720000,"""SlowStart""",149.00
721000,"""SlowStart""",150.00
722000,"""SlowStart""",151.00
723000,"""SlowStart""",152.00
724000,"""SlowStart""",153.00
725000,"""SlowStart""",154.00
726000,"""SlowStart""",155.00
727000,"""SlowStart""",156.00
728000,"""SlowStart""",157.00
729000,"""SlowStart""",158.00
730000,"""SlowStart""",159.00
731000,"""SlowStart""",160.00
732000,"""SlowStart""",161.00
733000,"""SlowStart""",162.00
734000,"""SlowStart""",163.00
735000,"""SlowStart""",164.00
736000,"""SlowStart""",165.00
737000,"""SlowStart""",166.00
738000,"""SlowStart""",167.00
739000,"""SlowStart""",168.00
740000,"""SlowStart""",169.00
