now,probe_cwnd_before,probe_min_qdel_before,probe_min_qdel_during,probe_excess_amount,probe_excess_qdel,communicated_flow_count,round_max_cruise_rate,bandwidth_estimate,latest_cruise_rate,flow_count_estimate,target_cwnd,probe_cwnd_after
2479000,93.50,0,32000,38,0,0.00,940.00,null,985.07,null,null,121.55
24390000,122.00,22000,110000,88,88000,2.20,1000.00,1000.00,990.57,1.00,110.00,110.00
45147000,110.00,10000,50000,40,40000,1.00,1000.00,1000.00,1000.00,1.00,110.00,110.00
65870000,110.00,10000,50000,40,40000,1.00,1000.00,1000.00,993.38,1.00,110.00,110.00
86634000,110.00,10000,51000,40,41000,1.00,1000.00,975.61,986.84,1.00,110.00,110.00
107442000,110.00,10000,50000,40,40000,1.00,1000.00,1000.00,1000.00,1.00,110.00,110.00
128248000,110.00,10000,51000,40,41000,1.00,1000.00,975.61,986.84,1.00,110.00,110.00
149074000,110.00,10000,50000,40,40000,1.00,1000.00,1000.00,1000.00,1.00,110.00,110.00
169972000,110.00,10000,50000,40,40000,1.00,1000.00,1000.00,1000.00,1.00,110.00,110.00
190918000,110.00,10000,50000,40,40000,1.00,1000.00,1000.00,974.03,1.00,110.00,110.00
211898000,110.00,10000,50000,40,40000,1.00,1000.00,1000.00,980.39,1.00,110.00,110.00
232901000,110.00,10000,50000,40,40000,1.00,1000.00,1000.00,986.84,1.00,110.00,110.00
254017000,110.00,11000,56000,44,45000,1.10,982.14,977.78,968.55,1.00,109.01,109.01
275150000,110.00,11000,56000,44,45000,1.10,982.14,977.78,962.50,1.00,109.01,109.01
296375000,110.00,10000,50000,40,40000,1.00,990.99,1000.00,949.37,1.01,110.09,110.09
317819000,111.00,12000,61000,47,49000,1.20,965.22,959.18,951.81,1.00,109.02,109.02
339392000,110.00,14000,71000,55,57000,1.40,964.91,964.91,904.19,1.00,106.14,106.14
360679000,107.00,12000,59000,46,47000,1.20,955.36,978.72,944.44,1.02,105.32,105.32
382084000,106.00,12000,61000,46,49000,1.20,938.05,938.78,926.83,1.00,104.11,104.11
403675000,105.00,11000,61000,42,50000,1.10,937.50,840.00,913.04,1.00,104.05,104.05
425644000,105.00,13000,66000,48,53000,1.30,921.05,905.66,868.57,1.00,102.21,102.21
447914000,103.00,17000,85000,59,68000,1.70,865.55,867.65,835.05,1.00,96.86,96.86
470186000,97.00,16000,81000,54,65000,1.60,829.06,830.77,774.36,1.00,92.00,92.00
492563000,92.00,19000,98000,58,79000,1.90,754.10,734.18,714.29,1.00,85.04,85.04
514543000,86.00,10000,56000,31,46000,1.00,761.06,673.91,717.79,1.00,86.00,86.00
536805000,87.00,22000,100000,63,78000,2.20,713.11,807.69,672.65,1.13,79.39,79.39
558592000,80.00,15000,78000,42,63000,1.50,689.66,666.67,598.68,1.00,76.52,76.52
581659000,77.00,28000,124000,68,96000,2.80,601.56,708.33,450.00,1.18,67.24,67.24
603728000,68.00,19000,83000,44,64000,1.90,571.43,687.50,574.36,1.20,64.02,64.02
625806000,65.00,20000,85000,44,65000,2.00,541.67,676.92,547.74,1.25,60.94,60.94
647924000,61.00,22000,88000,44,66000,2.20,500.00,666.67,509.71,1.33,56.67,56.67
670162000,57.00,23000,91000,43,68000,2.30,463.41,632.35,469.48,1.36,52.66,52.66
692584000,53.00,26000,96000,44,70000,2.60,417.32,628.57,321.57,1.51,48.40,48.40
715152000,49.00,21000,85000,33,64000,2.10,385.83,515.62,390.48,1.34,45.91,45.91
738092000,46.00,37000,82000,50,45000,3.70,333.33,1111.11,257.04,3.33,44.77,44.77
761714000,45.00,35000,198000,47,163000,3.50,333.33,288.34,226.60,1.00,36.67,36.67
784946000,37.00,29000,88000,34,59000,2.90,284.62,576.27,223.78,2.02,34.49,34.49
807704000,35.00,26000,77000,29,51000,2.60,275.59,568.63,304.76,2.06,33.51,33.51
830814000,34.00,30000,85000,32,55000,3.00,261.54,581.82,208.61,2.22,31.97,31.97
854123000,32.00,28000,76000,28,48000,2.80,250.00,583.33,277.78,2.33,30.83,30.83
877406000,31.00,28000,76000,27,48000,2.80,240.31,562.50,271.03,2.34,29.89,29.89
900654000,30.00,28000,78000,27,50000,2.80,234.38,540.00,268.87,2.30,28.84,28.84
923850000,29.00,27000,71000,25,44000,2.70,226.56,568.18,259.62,2.51,28.56,28.56
947255000,29.00,28000,75000,26,47000,2.80,224.81,553.19,257.01,2.46,28.23,28.23
970701000,29.00,13000,56000,13,43000,1.30,239.67,302.33,247.06,1.26,28.90,28.90
993974000,29.00,56000,107000,41,51000,5.60,180.12,803.92,325.58,4.46,26.89,26.89
1015846000,27.00,18000,48000,17,30000,1.80,228.81,566.67,243.09,2.48,28.55,28.55
1038808000,29.00,28000,75000,26,47000,2.80,226.56,553.19,261.90,2.44,28.19,28.19
1061940000,29.00,30000,77000,27,47000,3.00,223.08,574.47,258.06,2.58,28.05,28.05
1085560000,29.00,32000,82000,28,50000,3.20,218.05,560.00,178.81,2.57,27.61,27.61
1109183000,28.00,29000,75000,26,46000,2.90,217.05,565.22,251.16,2.60,27.36,27.36
1132824000,28.00,29000,74000,25,45000,2.90,215.38,555.56,251.18,2.58,27.30,27.30
1156459000,28.00,29000,74000,25,45000,2.90,215.38,555.56,251.18,2.58,27.30,27.30
1180036000,28.00,29000,76000,26,47000,2.90,217.05,553.19,251.16,2.55,27.24,27.24
1203672000,28.00,28000,75000,25,47000,2.80,217.05,531.91,251.18,2.45,27.24,27.24
1227086000,28.00,14000,62000,14,48000,1.40,233.33,291.67,241.38,1.25,27.63,27.63
1250321000,28.00,57000,109000,41,52000,5.70,177.22,788.46,328.57,4.45,25.77,25.77
1272310000,26.00,19000,49000,17,30000,1.90,218.49,566.67,151.08,2.59,27.52,27.52
1295315000,28.00,28000,74000,25,46000,2.80,218.75,543.48,253.59,2.48,27.31,27.31
1318482000,28.00,30000,76000,26,46000,3.00,215.38,565.22,250.00,2.62,27.19,27.19
1342090000,28.00,31000,80000,27,49000,3.10,212.12,551.02,177.42,2.60,26.93,26.93
1365546000,27.00,29000,73000,25,44000,2.90,209.30,568.18,245.28,2.71,26.61,26.61
1389080000,27.00,29000,74000,25,45000,2.90,209.30,555.56,247.62,2.65,26.49,26.49
1412623000,27.00,28000,73000,24,45000,2.80,209.30,533.33,246.38,2.55,26.47,26.47
1436154000,27.00,29000,73000,25,44000,2.90,209.30,568.18,246.45,2.71,26.61,26.61
1459681000,27.00,28000,71000,24,43000,2.80,210.94,558.14,244.02,2.65,26.68,26.68
1483069000,27.00,14000,58000,13,44000,1.40,228.81,295.45,233.92,1.29,26.74,26.74
1506267000,27.00,58000,108000,40,50000,5.80,168.75,800.00,322.12,4.74,25.19,25.19
1528276000,26.00,20000,52000,18,32000,2.00,216.67,562.50,139.53,2.60,27.29,27.29
1551450000,28.00,29000,77000,26,48000,2.90,217.05,541.67,253.52,2.50,27.12,27.12
1574666000,28.00,30000,76000,26,46000,3.00,215.38,565.22,250.00,2.62,27.19,27.19
1598240000,28.00,31000,79000,27,48000,3.10,213.74,562.50,175.72,2.63,27.00,27.00
1621762000,27.00,29000,73000,25,44000,2.90,209.30,568.18,244.13,2.71,26.61,26.61
1645297000,27.00,29000,74000,25,45000,2.90,209.30,555.56,246.45,2.65,26.49,26.49
1668859000,27.00,29000,74000,25,45000,2.90,209.30,555.56,247.62,2.65,26.49,26.49
1692404000,27.00,29000,74000,25,45000,2.90,209.30,555.56,246.45,2.65,26.49,26.49
1715929000,27.00,28000,71000,24,43000,2.80,210.94,558.14,244.02,2.65,26.68,26.68
1739313000,27.00,14000,58000,13,44000,1.40,228.81,295.45,233.92,1.29,26.74,26.74
1762510000,27.00,58000,108000,40,50000,5.80,168.75,800.00,322.12,4.74,25.19,25.19
1784527000,26.00,20000,53000,18,33000,2.00,216.67,545.45,137.25,2.52,27.12,27.12
1807699000,28.00,29000,77000,26,48000,2.90,217.05,541.67,253.52,2.50,27.12,27.12
1830910000,28.00,30000,76000,26,46000,3.00,215.38,565.22,248.85,2.62,27.19,27.19
1854567000,28.00,32000,81000,27,49000,3.20,210.53,551.02,175.32,2.62,26.76,26.76
1878139000,27.00,29000,75000,25,46000,2.90,209.30,543.48,245.28,2.60,26.37,26.37
1901736000,27.00,29000,74000,25,45000,2.90,209.30,555.56,246.45,2.65,26.49,26.49
1925270000,27.00,29000,74000,25,45000,2.90,209.30,555.56,245.28,2.65,26.49,26.49
1948818000,27.00,29000,74000,25,45000,2.90,209.30,555.56,247.62,2.65,26.49,26.49
1972348000,27.00,28000,72000,24,44000,2.80,210.94,545.45,244.02,2.59,26.55,26.55
1995739000,27.00,14000,58000,13,44000,1.40,226.89,295.45,233.92,1.30,26.77,26.77
2018920000,27.00,57000,105000,39,48000,5.70,168.75,812.50,321.95,4.81,25.48,25.48
2040947000,26.00,20000,52000,18,32000,2.00,216.67,562.50,136.36,2.60,27.29,27.29
2064130000,28.00,29000,76000,26,47000,2.90,217.05,553.19,252.34,2.55,27.24,27.24
2087323000,28.00,30000,76000,26,46000,3.00,215.38,565.22,250.00,2.62,27.19,27.19
2110873000,28.00,31000,80000,27,49000,3.10,213.74,551.02,248.87,2.58,26.88,26.88
2134415000,27.00,29000,73000,25,44000,2.90,209.30,568.18,245.28,2.71,26.61,26.61
2157954000,27.00,29000,74000,25,45000,2.90,209.30,555.56,247.62,2.65,26.49,26.49
2181511000,27.00,29000,74000,25,45000,2.90,209.30,555.56,247.62,2.65,26.49,26.49
2205057000,27.00,29000,73000,25,44000,2.90,209.30,568.18,246.45,2.71,26.61,26.61
2228583000,27.00,28000,71000,24,43000,2.80,210.94,558.14,242.86,2.65,26.68,26.68
2251986000,27.00,14000,57000,13,43000,1.40,223.14,302.33,236.69,1.35,26.89,26.89
2275179000,27.00,57000,105000,39,48000,5.70,170.89,812.50,321.95,4.75,25.37,25.37
2297286000,26.00,20000,53000,18,33000,2.00,216.67,545.45,140.79,2.52,27.12,27.12
2320403000,28.00,29000,75000,26,46000,2.90,217.05,565.22,251.16,2.60,27.36,27.36
2343678000,28.00,31000,79000,27,48000,3.10,213.74,562.50,251.14,2.63,27.00,27.00
2367066000,27.00,30000,76000,25,46000,3.00,206.11,543.48,245.28,2.64,26.25,26.25
2390716000,27.00,30000,75000,25,45000,3.00,207.69,555.56,244.13,2.67,26.32,26.32
2414310000,27.00,29000,74000,25,45000,2.90,207.69,555.56,244.13,2.67,26.53,26.53
2437947000,27.00,29000,73000,25,44000,2.90,209.30,568.18,244.13,2.71,26.61,26.61
2461459000,27.00,28000,73000,24,45000,2.80,209.30,533.33,246.38,2.55,26.47,26.47
2484982000,27.00,28000,71000,24,43000,2.80,210.94,558.14,242.86,2.65,26.68,26.68
2508371000,27.00,14000,58000,13,44000,1.40,226.89,295.45,233.92,1.30,26.77,26.77
2531564000,27.00,58000,108000,40,50000,5.80,168.75,800.00,322.12,4.74,25.19,25.19
2553603000,26.00,20000,52000,18,32000,2.00,216.67,562.50,136.36,2.60,27.29,27.29
2576772000,28.00,29000,76000,26,47000,2.90,217.05,553.19,252.34,2.55,27.24,27.24
2599992000,28.00,30000,76000,26,46000,3.00,215.38,565.22,251.16,2.62,27.19,27.19
2623571000,28.00,31000,79000,27,48000,3.10,212.12,562.50,175.72,2.65,27.04,27.04
2647342000,28.00,31000,79000,27,48000,3.10,213.74,562.50,251.14,2.63,27.00,27.00
2670801000,27.00,28000,71000,24,43000,2.80,210.94,558.14,245.19,2.65,26.68,26.68
2694300000,27.00,28000,72000,24,44000,2.80,210.94,545.45,245.19,2.59,26.55,26.55
2717829000,27.00,29000,74000,25,45000,2.90,209.30,555.56,247.62,2.65,26.49,26.49
2741363000,27.00,28000,72000,24,44000,2.80,209.30,545.45,244.02,2.61,26.59,26.59
2764848000,27.00,13000,56000,13,43000,1.30,232.76,302.33,235.29,1.30,27.00,27.00
2787987000,27.00,56000,105000,39,49000,5.60,171.97,795.92,320.39,4.63,25.32,25.32
2810235000,26.00,21000,55000,19,34000,2.10,214.88,558.82,119.13,2.60,27.08,27.08
2833418000,28.00,30000,77000,26,47000,3.00,215.38,553.19,251.16,2.57,27.07,27.07
2856721000,28.00,31000,80000,27,49000,3.10,213.74,551.02,250.00,2.58,26.88,26.88
2880211000,27.00,30000,76000,25,46000,3.00,207.69,543.48,244.13,2.62,26.20,26.20
2904041000,27.00,30000,75000,25,45000,3.00,207.69,555.56,244.13,2.67,26.32,26.32
2927735000,27.00,29000,74000,25,45000,2.90,207.69,555.56,244.13,2.67,26.53,26.53
2951398000,27.00,29000,74000,25,45000,2.90,209.30,555.56,245.28,2.65,26.49,26.49
2975008000,27.00,29000,73000,25,44000,2.90,209.30,568.18,246.45,2.71,26.61,26.61
2998534000,27.00,28000,72000,24,44000,2.80,210.94,545.45,246.38,2.59,26.55,26.55
3022025000,27.00,25000,68000,22,43000,2.50,210.94,511.63,243.78,2.43,26.84,26.84
3045440000,27.00,70000,106000,45,36000,7.00,158.82,1250.00,259.93,7.87,28.38,28.38
3069316000,29.00,35000,159000,31,124000,3.50,214.81,250.00,217.39,1.16,23.98,23.98
3093209000,24.00,37000,85000,26,48000,3.70,175.18,541.67,144.23,3.09,22.93,22.93
3116953000,23.00,29000,68000,21,39000,2.90,178.29,538.46,217.82,3.02,23.21,23.21
3140753000,24.00,35000,81000,25,46000,3.50,177.78,543.48,149.07,3.06,23.21,23.21
3164977000,24.00,32000,76000,24,44000,3.20,181.82,545.45,221.20,3.00,23.64,23.64
3188745000,24.00,29000,69914,22,40914,2.90,184.62,537.71,223.30,2.91,24.02,24.02
3212614000,25.00,30000,71000,23,41000,3.00,190.84,560.98,229.67,2.94,24.88,24.88
3236285000,25.00,29000,70000,23,41000,2.90,193.80,560.98,230.77,2.89,24.99,24.99
3260029000,25.00,28000,68000,22,40000,2.80,195.31,550.00,232.67,2.82,25.03,25.03
3283917000,26.00,29000,73000,24,44000,2.90,200.00,545.45,236.97,2.73,25.65,25.65
3307588000,26.00,27000,67000,22,40000,2.70,200.00,550.00,236.45,2.75,26.10,26.10
3331195000,27.00,0,54000,11,0,0.00,267.33,null,196.89,null,null,35.10
3357067000,36.00,58000,273000,53,215000,5.80,227.85,246.51,121.95,1.08,25.25,27.69
3380529000,28.00,28000,73000,25,45000,2.80,218.75,555.56,252.38,2.54,27.43,27.43
3403919000,28.00,29000,76000,26,47000,2.90,217.05,553.19,253.52,2.55,27.24,27.24
3427315000,28.00,33000,82000,28,49000,3.30,210.53,571.43,171.52,2.71,26.77,26.77
3450976000,27.00,30000,75000,25,45000,3.00,207.69,555.56,244.13,2.67,26.32,26.32
3474564000,27.00,29000,74000,25,45000,2.90,207.69,555.56,244.13,2.67,26.53,26.53
3498137000,27.00,29000,75000,25,46000,2.90,209.30,543.48,246.45,2.60,26.37,26.37
3521676000,27.00,29000,73000,25,44000,2.90,209.30,568.18,245.28,2.71,26.61,26.61
3545204000,27.00,28000,72000,24,44000,2.80,209.30,545.45,246.38,2.61,26.59,26.59
3568715000,27.00,25000,69000,22,44000,2.50,212.60,500.00,243.78,2.35,26.68,26.68
3592054000,27.00,0,42000,11,0,0.00,267.33,null,174.53,null,null,35.10
3618369000,36.00,134000,137000,60,3000,10.00,149.38,20000.00,396.69,10.00,36.00,36.00
3642776000,36.00,43000,119000,43,76000,4.30,250.00,565.79,272.41,2.26,30.87,30.87
3666514000,31.00,29000,79000,28,50000,2.90,240.31,560.00,273.15,2.33,29.63,29.63
3689428000,30.00,28000,77000,27,49000,2.80,234.38,551.02,268.87,2.35,28.95,28.95
3712607000,29.00,29000,78000,27,49000,2.90,224.81,551.02,258.06,2.45,27.99,27.99
3736003000,28.00,28000,72000,25,44000,2.80,218.75,568.18,251.18,2.60,27.56,27.56
3759581000,28.00,29000,75000,26,46000,2.90,217.05,565.22,252.34,2.60,27.36,27.36
3783197000,28.00,29000,74000,25,45000,2.90,215.38,555.56,250.00,2.58,27.30,27.30
3806821000,28.00,29000,74000,25,45000,2.90,215.38,555.56,251.18,2.58,27.30,27.30
3830452000,28.00,29000,74000,25,45000,2.90,215.38,555.56,252.38,2.58,27.30,27.30
3853981000,28.00,26000,71000,24,45000,2.70,215.38,533.33,250.00,2.48,27.51,27.51
3877460000,28.00,70000,108000,46,38000,7.00,163.74,1210.53,263.35,7.39,28.65,28.65
3900955000,29.00,33000,163000,29,130000,3.30,218.05,223.08,210.91,1.02,24.04,24.04
3923776000,25.00,25000,62000,20,37000,2.50,198.41,540.54,233.16,2.72,25.45,25.45
3947447000,26.00,32000,78000,26,46000,3.20,196.97,565.22,165.61,2.87,25.35,25.35
3971222000,26.00,36000,87000,28,51000,3.60,191.18,549.02,153.09,2.87,24.61,24.61
3995225000,25.00,31000,74000,24,43000,3.10,190.84,558.14,230.05,2.92,24.67,24.67
4019003000,25.00,29000,70000,23,41000,2.90,193.80,560.98,229.67,2.89,24.99,24.99
4042521000,25.00,28000,67000,22,39000,2.80,195.31,564.10,230.39,2.89,25.17,25.17
4066287000,26.00,30000,74000,24,44000,3.00,200.00,545.45,238.10,2.73,25.45,25.45
4090117000,26.00,29000,72000,24,43000,2.90,201.55,558.14,236.97,2.77,25.74,25.74
4113755000,26.00,28000,69000,23,41000,2.80,203.12,560.98,237.86,2.76,25.92,25.92
4137161000,26.00,14000,56000,13,42000,1.40,222.22,309.52,226.74,1.39,25.98,25.98
4160340000,26.00,58000,103000,38,45000,5.80,160.49,844.44,315.27,5.26,25.11,25.11
4182637000,26.00,23000,58000,20,35000,2.30,211.38,571.43,244.68,2.70,26.85,26.85
4205762000,27.00,28000,71000,24,43000,2.80,210.94,558.14,244.02,2.65,26.68,26.68
4228855000,27.00,29000,75000,25,46000,2.90,209.30,543.48,245.28,2.60,26.37,26.37
4252508000,27.00,31000,78000,26,47000,3.10,206.11,553.19,243.12,2.68,26.14,26.14
4276411000,27.00,30000,76000,25,46000,3.00,207.69,543.48,242.99,2.62,26.20,26.20
4300132000,27.00,29000,75000,25,46000,2.90,209.30,543.48,245.28,2.60,26.37,26.37
4323790000,27.00,29000,74000,25,45000,2.90,209.30,555.56,245.28,2.65,26.49,26.49
4347339000,27.00,29000,75000,25,46000,2.90,209.30,543.48,247.62,2.60,26.37,26.37
4370879000,27.00,28000,71000,24,43000,2.80,209.30,558.14,244.02,2.67,26.72,26.72
4394355000,27.00,25000,67000,22,42000,2.60,210.94,523.81,242.57,2.48,26.75,26.75
4417766000,27.00,70000,105000,45,35000,7.00,158.82,1285.71,259.93,8.10,28.74,28.74
4441599000,29.00,35000,164000,31,129000,3.50,214.81,240.31,215.05,1.12,23.88,23.88
