start_time,start_tot_tx,start_tot_rx,start_tot_ld,start_seq,end_time,end_tot_tx,end_tot_rx,end_tot_ld,end_seq,duration,acked,ack_rate,probe_ongoing
1000000,3,1,0,1,2034000,8,4,0,2,1034000,3,2.90,false
2034000,8,4,0,2,3472000,10,9,0,7,1438000,5,3.48,false
3722000,11,10,0,8,4744000,13,12,0,10,1022000,2,1.96,false
4744000,13,12,0,10,5766000,15,14,0,12,1022000,2,1.96,false
5766000,15,14,0,12,6788000,18,16,0,14,1022000,2,1.96,true
6788000,18,16,0,14,7894000,21,19,0,17,1106000,3,2.71,true
7894000,21,19,0,17,8916000,24,22,0,20,1022000,3,2.94,true
8916000,24,22,0,20,9938000,26,25,0,23,1022000,3,2.94,true
9938000,26,25,0,23,11043000,29,27,0,25,1105000,2,1.81,true
11043000,29,27,0,25,12149000,32,30,0,28,1106000,3,2.71,false
12149000,32,30,0,28,13171000,35,33,0,31,1022000,3,2.94,false
13171000,35,33,0,31,14193000,38,36,0,34,1022000,3,2.94,false
14193000,38,36,0,34,15215000,41,39,0,37,1022000,3,2.94,false
15215000,41,39,0,37,16237000,44,42,0,40,1022000,3,2.94,false
16237000,44,42,0,40,17259000,47,45,0,43,1022000,3,2.94,false
17259000,47,45,0,43,18281000,50,48,0,46,1022000,3,2.94,false
18281000,50,48,0,46,19303000,53,51,0,49,1022000,3,2.94,false
19303000,53,51,0,49,20325000,56,54,0,52,1022000,3,2.94,false
20325000,56,54,0,52,21347000,59,57,0,55,1022000,3,2.94,false
21347000,59,57,0,55,22369000,62,60,0,58,1022000,3,2.94,false
22369000,62,60,0,58,23391000,65,63,0,61,1022000,3,2.94,false
23391000,65,63,0,61,24414000,68,66,0,64,1023000,3,2.93,false
24414000,68,66,0,64,25512000,71,69,0,67,1098000,3,2.73,false
25512000,71,69,0,67,26522000,74,72,0,70,1010000,3,2.97,false
26522000,74,72,0,70,27532000,77,75,0,73,1010000,3,2.97,false
27532000,77,75,0,73,28542000,80,78,0,76,1010000,3,2.97,false
28542000,80,78,0,76,29552000,83,81,0,79,1010000,3,2.97,false
29552000,83,81,0,79,30562000,86,84,0,82,1010000,3,2.97,false
30562000,86,84,0,82,31572000,89,87,0,85,1010000,3,2.97,false
31572000,89,87,0,85,32582000,92,90,0,88,1010000,3,2.97,false
32582000,92,90,0,88,33592000,95,93,0,91,1010000,3,2.97,false
33592000,95,93,0,91,34602000,98,96,0,94,1010000,3,2.97,false
34602000,98,96,0,94,35612000,101,99,0,97,1010000,3,2.97,false
35612000,101,99,0,97,36622000,104,102,0,100,1010000,3,2.97,false
37465000,106,104,0,102,38475000,109,107,0,105,1010000,3,2.97,false
38475000,109,107,0,105,39485000,112,110,0,108,1010000,3,2.97,false
39485000,112,110,0,108,40495000,116,113,0,111,1010000,3,2.97,true
40495000,116,113,0,111,41587000,120,117,0,115,1092000,4,3.66,true
41587000,120,117,0,115,42597000,124,121,0,119,1010000,4,3.96,true
42597000,124,121,0,119,43607000,127,125,0,123,1010000,4,3.96,true
43607000,127,125,0,123,44699000,131,128,0,126,1092000,3,2.75,true
44699000,131,128,0,126,45792000,135,132,0,130,1093000,4,3.66,false
45792000,135,132,0,130,46802000,139,136,0,134,1010000,4,3.96,false
46802000,139,136,0,134,47812000,143,140,0,138,1010000,4,3.96,false
47812000,143,140,0,138,48822000,147,144,0,142,1010000,4,3.96,false
48822000,147,144,0,142,49832000,151,148,0,146,1010000,4,3.96,false
49832000,151,148,0,146,50842000,155,152,0,150,1010000,4,3.96,false
50842000,155,152,0,150,51852000,159,156,0,154,1010000,4,3.96,false
51852000,159,156,0,154,52862000,163,160,0,158,1010000,4,3.96,false
52862000,163,160,0,158,53872000,167,164,0,162,1010000,4,3.96,false
53872000,167,164,0,162,54882000,171,168,0,166,1010000,4,3.96,false
54882000,171,168,0,166,55892000,175,172,0,170,1010000,4,3.96,false
55892000,175,172,0,170,56902000,179,176,0,174,1010000,4,3.96,false
56902000,179,176,0,174,57912000,183,180,0,178,1010000,4,3.96,false
57912000,183,180,0,178,58922000,187,184,0,182,1010000,4,3.96,false
58922000,187,184,0,182,59932000,191,188,0,186,1010000,4,3.96,false
59932000,191,188,0,186,60942000,195,192,0,190,1010000,4,3.96,false
60942000,195,192,0,190,61952000,199,196,0,194,1010000,4,3.96,false
61952000,199,196,0,194,62962000,203,200,0,198,1010000,4,3.96,false
62962000,203,200,0,198,63972000,207,204,0,202,1010000,4,3.96,false
63972000,207,204,0,202,64982000,211,208,0,206,1010000,4,3.96,false
64982000,211,208,0,206,65992000,215,212,0,210,1010000,4,3.96,false
65992000,215,212,0,210,67042000,219,216,0,214,1050000,4,3.81,false
67042000,219,216,0,214,68052000,223,220,0,218,1010000,4,3.96,false
68052000,223,220,0,218,69062000,227,224,0,222,1010000,4,3.96,false
69062000,227,224,0,222,70072000,231,228,0,226,1010000,4,3.96,false
70957000,234,231,0,229,71967000,238,235,0,233,1010000,4,3.96,false
71967000,238,235,0,233,72977000,242,239,0,237,1010000,4,3.96,false
72977000,242,239,0,237,73987000,247,243,0,241,1010000,4,3.96,true
73987000,247,243,0,241,75073000,252,248,0,246,1086000,5,4.60,true
75073000,252,248,0,246,76084000,257,253,0,251,1011000,5,4.95,true
76084000,257,253,0,251,77095000,261,258,0,256,1011000,5,4.95,true
77095000,261,258,0,256,78130000,266,262,0,260,1035000,4,3.86,true
78130000,266,262,0,260,79183000,272,267,0,265,1053000,5,4.75,false
79183000,272,267,0,265,80195000,278,273,0,271,1012000,6,5.93,false
80195000,278,273,0,271,81206000,284,279,0,277,1011000,6,5.93,false
81206000,284,279,0,277,82217000,290,285,0,283,1011000,6,5.93,false
82217000,290,285,0,283,83228000,296,291,0,289,1011000,6,5.93,false
83228000,296,291,0,289,84239000,302,297,0,295,1011000,6,5.93,false
84239000,302,297,0,295,85250000,308,303,0,301,1011000,6,5.93,false
85250000,308,303,0,301,86301000,314,309,0,307,1051000,6,5.71,false
86301000,314,309,0,307,87312000,320,315,0,313,1011000,6,5.93,false
87312000,320,315,0,313,88323000,326,321,0,319,1011000,6,5.93,false
88323000,326,321,0,319,89334000,332,327,0,325,1011000,6,5.93,false
89334000,332,327,0,325,90345000,338,333,0,331,1011000,6,5.93,false
90345000,338,333,0,331,91356000,344,339,0,337,1011000,6,5.93,false
91356000,344,339,0,337,92367000,350,345,0,343,1011000,6,5.93,false
92367000,350,345,0,343,93378000,356,351,0,349,1011000,6,5.93,false
93378000,356,351,0,349,94389000,362,357,0,355,1011000,6,5.93,false
94389000,362,357,0,355,95400000,368,363,0,361,1011000,6,5.93,false
95400000,368,363,0,361,96411000,374,369,0,367,1011000,6,5.93,false
96411000,374,369,0,367,97422000,380,375,0,373,1011000,6,5.93,false
97422000,380,375,0,373,98433000,386,381,0,379,1011000,6,5.93,false
98433000,386,381,0,379,99444000,392,387,0,385,1011000,6,5.93,false
99444000,392,387,0,385,100455000,398,393,0,391,1011000,6,5.93,false
100455000,398,393,0,391,101466000,404,399,0,397,1011000,6,5.93,false
101466000,404,399,0,397,102477000,410,405,0,403,1011000,6,5.93,false
102477000,410,405,0,403,103488000,416,411,0,409,1011000,6,5.93,false
104415000,421,416,0,414,105426000,427,422,0,420,1011000,6,5.93,false
105426000,427,422,0,420,106436000,433,428,0,426,1010000,6,5.94,false
106436000,433,428,0,426,107447000,440,434,0,432,1011000,6,5.93,true
107447000,440,434,0,432,108529000,447,441,0,439,1082000,7,6.47,true
108529000,447,441,0,439,109541000,454,448,0,446,1012000,7,6.92,true
109541000,454,448,0,446,110552000,460,455,0,453,1011000,7,6.92,true
110552000,460,455,0,453,111575000,467,461,0,459,1023000,6,5.87,true
111575000,467,461,0,459,112626000,475,468,0,466,1051000,7,6.66,false
112626000,475,468,0,466,113638000,483,476,0,474,1012000,8,7.91,false
113638000,483,476,0,474,114649000,491,484,0,482,1011000,8,7.91,false
114649000,491,484,0,482,115660000,499,492,0,490,1011000,8,7.91,false
115660000,499,492,0,490,116671000,507,500,0,498,1011000,8,7.91,false
116671000,507,500,0,498,117682000,515,508,0,506,1011000,8,7.91,false
117682000,515,508,0,506,118693000,523,516,0,514,1011000,8,7.91,false
118693000,523,516,0,514,119704000,531,524,0,522,1011000,8,7.91,false
