start_time,end_time,duration,min_qdel,max_qdel,communicated_flow_count,round_max_cruise_rate,latest_cruise_rate,cruise_happened,probe_happened,round_ended,cwnd
3472000,4494000,1022000,22000,22000,2.20,0.00,3.48,true,false,false,2.00
4494000,5516000,1022000,22000,22000,2.20,1.96,1.96,true,false,false,2.00
5516000,6538000,1022000,22000,22000,2.20,1.96,1.96,true,false,false,2.00
6538000,10793000,4255000,22000,22000,2.20,1.96,2.94,false,true,false,2.00
10793000,11815000,1022000,22000,22000,2.20,1.96,1.81,true,false,false,3.00
11815000,12837000,1022000,22000,22668,2.20,2.71,2.71,true,false,false,3.00
12837000,13859000,1022000,22000,22000,2.20,2.94,2.94,true,false,false,3.00
13859000,14881000,1022000,22000,22000,2.20,2.94,2.94,true,false,false,3.00
14881000,15903000,1022000,22000,22000,2.20,2.94,2.94,true,false,false,3.00
15903000,16925000,1022000,22000,22000,2.20,2.94,2.94,true,false,false,3.00
16925000,17947000,1022000,22000,22000,2.20,2.94,2.94,true,false,false,3.00
17947000,18969000,1022000,22000,22000,2.20,2.94,2.94,true,false,false,3.00
18969000,19991000,1022000,22000,22000,2.20,2.94,2.94,true,false,false,3.00
19991000,21013000,1022000,22000,22000,2.20,2.94,2.94,true,false,false,3.00
21013000,22035000,1022000,22000,22000,2.20,2.94,2.94,true,false,false,3.00
22035000,23057000,1022000,22000,22000,2.20,2.94,2.94,true,false,false,3.00
23057000,24167000,1110000,22000,110000,2.20,2.94,2.94,true,false,false,3.00
24167000,25177000,1010000,10000,111000,1.00,2.94,2.93,true,false,false,3.00
25177000,26187000,1010000,10000,10334,1.00,2.94,2.73,true,false,false,3.00
26187000,27197000,1010000,10000,10000,1.00,2.97,2.97,true,false,false,3.00
27197000,28207000,1010000,10000,10000,1.00,2.97,2.97,true,false,false,3.00
28207000,29217000,1010000,10000,10000,1.00,2.97,2.97,true,false,false,3.00
29217000,30227000,1010000,10000,10000,1.00,2.97,2.97,true,false,false,3.00
30227000,31237000,1010000,10000,10000,1.00,2.97,2.97,true,false,false,3.00
31237000,32247000,1010000,10000,10000,1.00,2.97,2.97,true,false,false,3.00
32247000,33257000,1010000,10000,10000,1.00,2.97,2.97,true,false,false,3.00
33257000,34267000,1010000,10000,10000,1.00,2.97,2.97,true,false,false,3.00
34267000,35277000,1010000,10000,10000,1.00,2.97,2.97,true,false,false,3.00
35277000,36287000,1010000,10000,10000,1.00,2.97,2.97,true,false,false,3.00
36287000,37297000,1010000,10000,10000,1.00,2.97,2.97,true,false,true,3.00
37297000,38307000,1010000,10000,10000,1.00,0.00,2.97,true,false,false,3.00
38307000,39317000,1010000,10000,10000,1.00,2.97,2.97,true,false,false,3.00
39317000,40327000,1010000,10000,10000,1.00,2.97,2.97,true,false,false,3.00
40327000,44532000,4205000,10000,10000,1.00,2.97,3.96,false,true,false,3.00
44532000,45542000,1010000,10000,50668,1.00,2.97,2.75,true,false,false,4.00
45542000,46552000,1010000,10000,10000,1.00,3.66,3.66,true,false,false,4.00
46552000,47562000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
47562000,48572000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
48572000,49582000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
49582000,50592000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
50592000,51602000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
51602000,52612000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
52612000,53622000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
53622000,54632000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
54632000,55642000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
55642000,56652000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
56652000,57662000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
57662000,58672000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
58672000,59682000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
59682000,60692000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
60692000,61702000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
61702000,62712000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
62712000,63722000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
63722000,64732000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
64732000,65782000,1050000,10000,50000,1.00,3.96,3.96,true,false,false,4.00
65782000,66792000,1010000,10000,50000,1.00,3.96,3.96,true,false,false,4.00
66792000,67802000,1010000,10000,10000,1.00,3.96,3.81,true,false,false,4.00
67802000,68812000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
68812000,69822000,1010000,10000,10000,1.00,3.96,3.96,true,false,false,4.00
69822000,70832000,1010000,10000,10000,1.00,3.96,3.96,true,false,true,4.00
70832000,71842000,1010000,10000,10000,1.00,0.00,3.96,true,false,false,4.00
