f_min,f_max,c_min,c_max,n_min,n_max,target_delay_min,target_delay_max,delay,min_rtt
1,166.66666666666669,166.6666666666667,199.80000000000004,1.0000000000000002,199.80000000000004,0.05000000000000002,9.990000000000002,0.03,0.05
1,88.23529411764706,88.23529411764707,1835.8283328178145,1.0000000000000002,1835.8283328178145,0.05000000000000002,91.79141664089073,0.000697,0.05
1,128.2051282051282,128.2051282051289,9288.363494539746,1.0000000000000053,9288.363494539746,0.050000000000000266,464.41817472698733,0.000786,0.05
1,162.79069767441862,162.7906976744195,10909.663269306184,1.0000000000000053,10909.663269306184,0.050000000000000266,545.4831634653092,0.000409,0.05
1,173.0769230769231,173.07692307692315,1078.8904763052026,1.0000000000000002,1078.8904763052026,0.05000000000000002,53.94452381526013,0.009726,0.05
1,172.41379310344828,172.41379310344828,515.94610080606,1,515.94610080606,0.05,25.797305040303,0.041238,0.05
1,169.01408450704227,169.0140845070423,437.5707911486911,1.0000000000000002,437.5707911486911,0.05000000000000002,21.878539557434557,0.098098,0.05
1,211.9205298013245,211.92052980132416,2926.7983876355743,1,2926.7983876355743,0.05,146.3399193817787,0.115297,0.05
164.83516483516485,211.9205298013245,nan,nan,nan,nan,nan,nan,0.056748,0.05
173.91304347826085,211.9205298013245,nan,nan,nan,nan,nan,nan,0.026507,0.05
170.73170731707316,170.73170731707316,170.73170731707327,170.73170731707327,1.0000000000000007,1.5000000000000007,0.05000000000000004,0.07500000000000004,0.038949,0.05
173.65269461077844,173.65269461077844,173.65269461077847,173.65269461077847,1.0000000000000002,1.5000000000000002,0.05000000000000002,0.07500000000000001,0.120783,0.05
173.91304347826085,203.38983050847457,203.3898305084746,240.41823698874953,1.0000000000000002,1.38240486268531,0.05000000000000002,0.0691202431342655,0.256495,0.05
220.33898305084747,203.38983050847457,nan,nan,nan,nan,nan,nan,0.148134,0.05
196.96969696969697,203.38983050847457,nan,nan,nan,nan,nan,nan,0.030306,0.05
181.81818181818184,203.38983050847457,nan,nan,nan,nan,nan,nan,0.000805,0.05
181.81818181818184,235.29411764705884,235.29411764705875,681.3186813186811,1,3.7472527472527455,0.05,0.18736263736263728,0.006166,0.05
181.81818181818184,245.45454545454547,245.45454545454544,312.4812770269128,1,1.71864702364802,0.05,0.085932351182401,0.062781,0.05
181.81818181818184,238.24451410658307,238.2445141065831,268.8890062067574,1.0000000000000002,1.4788895341371655,0.05000000000000002,0.07394447670685828,0.273362,0.05
181.81818181818184,201.78041543026706,201.780415430267,517.8049287005323,1,2.8479271078529274,0.05,0.14239635539264636,0.302141,0.05
211.0091743119266,201.78041543026706,nan,nan,nan,nan,nan,nan,0.085106,0.05
137.2549019607843,201.78041543026706,nan,nan,nan,nan,nan,nan,0.018376,0.05
137.2549019607843,137.9310344827586,137.93103448275835,146.99604725970713,1,1.0709712014635806,0.05,0.053548560073179034,0.013063,0.05
127.81954887218045,127.81954887218045,127.81954887218046,127.81954887218046,1.0000000000000002,1.5000000000000002,0.05000000000000002,0.07500000000000001,0.087442,0.05
130.43478260869566,130.43478260869566,130.43478260869563,130.43478260869563,1,0.9999999999999998,0.05,0.04999999999999999,0.392626,0.05
141.80929095354523,130.43478260869566,nan,nan,nan,nan,nan,nan,0.377713,0.05
137.68115942028984,130.43478260869566,nan,nan,nan,nan,nan,nan,0.109372,0.05
135.13513513513513,130.43478260869566,nan,nan,nan,nan,nan,nan,0.039021,0.05
125,125,125.00000000000001,125.00000000000001,1.0000000000000002,1.5000000000000002,0.05000000000000002,0.07500000000000001,0.060973,0.05
119.04761904761905,119.04761904761905,119.04761904761904,119.04761904761904,1,0.9999999999999999,0.05,0.049999999999999996,0.247953,0.05
135.13513513513513,142.85714285714286,142.85714285714286,156.69387158090882,1,1.1595346496987253,0.05,0.05797673248493627,0.419736,0.05
149.42528735632186,142.85714285714286,nan,nan,nan,nan,nan,nan,0.15291,0.05
135.59322033898306,142.85714285714286,nan,nan,nan,nan,nan,nan,0.029129,0.05
133.33333333333334,142.85714285714286,nan,nan,nan,nan,nan,nan,0.003652,0.05
113.63636363636364,113.63636363636364,113.63636363636364,113.63636363636364,1,1.5,0.05,0.07500000000000001,0.044934,0.05
111.47540983606558,111.47540983606558,111.47540983606557,111.47540983606557,1,0.9999999999999999,0.05,0.049999999999999996,0.258307,0.05
133.33333333333334,166.37168141592923,166.37168141592923,201.88048546330086,1,1.5141036409747564,0.05,0.07570518204873783,0.545,0.05
154.54545454545453,166.37168141592923,nan,nan,nan,nan,nan,nan,0.195848,0.05
142.85714285714286,166.37168141592923,nan,nan,nan,nan,nan,nan,0.051189,0.05
135.13513513513513,166.37168141592923,nan,nan,nan,nan,nan,nan,0.031068,0.05
121.2121212121212,121.2121212121212,121.2121212121212,121.2121212121212,1,1.5,0.05,0.07500000000000001,0.119249,0.05
135.13513513513513,144.92753623188406,144.9275362318841,150.53903226036007,1.0000000000000002,1.1139888387266645,0.05000000000000002,0.05569944193633323,0.438588,0.05
158.13953488372093,144.92753623188406,nan,nan,nan,nan,nan,nan,0.397463,0.05
154.36241610738256,144.92753623188406,nan,nan,nan,nan,nan,nan,0.120842,0.05
183.0985915492958,144.92753623188406,nan,nan,nan,nan,nan,nan,0.035129,0.05
183.0985915492958,188.23529411764704,188.23529411764704,227.2110292143195,1,1.2409217749397448,0.05,0.06204608874698724,0.04055,0.05
183.0985915492958,190.9090909090909,190.90909090909093,196.700217534232,1.0000000000000002,1.07428580345619,0.05000000000000002,0.0537142901728095,0.172006,0.05
183.0985915492958,207.23684210526315,207.23684210526312,220.80152064761702,1,1.205915997383139,0.05,0.06029579986915695,0.567774,0.05
216.06648199445985,207.23684210526315,nan,nan,nan,nan,nan,nan,0.334002,0.05
192.59259259259258,207.23684210526315,nan,nan,nan,nan,nan,nan,0.100495,0.05
204.0816326530612,207.23684210526315,nan,nan,nan,nan,nan,nan,0.054257,0.05
204.0816326530612,204.54545454545456,204.5454545454546,205.1687486014401,1.0000000000000002,1.0053268681470564,0.05000000000000002,0.05026634340735282,0.129356,0.05
204.0816326530612,210.01926782273603,210.01926782273605,213.21966317292126,1.0000000000000002,1.0447763495473144,0.05000000000000002,0.05223881747736572,0.471829,0.05
200,200,199.99999999999963,199.99999999999963,1,0.9999999999999981,0.05,0.049999999999999906,0.493309,0.05
203.48837209302326,200,nan,nan,nan,nan,nan,nan,0.148378,0.05
158.53658536585365,200,nan,nan,nan,nan,nan,nan,0.042098,0.05
154.63917525773195,154.63917525773195,154.63917525773186,154.63917525773186,1,0.9999999999999994,0.05,0.049999999999999975,0.05166,0.05
143.4108527131783,143.4108527131783,143.4108527131783,143.4108527131783,1,1.5,0.05,0.07500000000000001,0.211346,0.05
135.92233009708738,135.92233009708738,135.92233009708738,135.92233009708738,1,1.5,0.05,0.07500000000000001,0.487721,0.05
134.6153846153846,135.92233009708738,nan,nan,nan,nan,nan,nan,0.247628,0.05
127.65957446808511,135.92233009708738,nan,nan,nan,nan,nan,nan,0.072956,0.05
118.42105263157895,135.92233009708738,nan,nan,nan,nan,nan,nan,0.036263,0.05
102.73972602739727,102.73972602739727,102.73972602739727,102.73972602739727,1,1.5,0.05,0.07500000000000001,0.101215,0.05
108.23529411764706,108.23529411764706,108.23529411764706,108.23529411764706,1,1.5,0.05,0.07500000000000001,0.383253,0.05
118.42105263157895,137.07865168539325,137.07865168539314,460.91515629118936,1,3.892172430903377,0.05,0.19460862154516886,0.419581,0.05
130.43478260869563,137.07865168539325,nan,nan,nan,nan,nan,nan,0.115239,0.05
113.63636363636364,137.07865168539325,nan,nan,nan,nan,nan,nan,0.013141,0.05
88.88888888888889,88.88888888888889,88.88888888888879,88.88888888888879,1,0.9999999999999989,0.05,0.04999999999999995,0.003938,0.05
77.66990291262137,77.66990291262137,77.66990291262137,77.66990291262137,1,1.5,0.05,0.07500000000000001,0.061717,0.05
71.25307125307125,71.25307125307125,71.25307125307125,71.25307125307125,1,1.5,0.05,0.07500000000000001,0.365016,0.05
109.6774193548387,109.6774193548387,109.67741935483866,109.67741935483866,1,0.9999999999999996,0.05,0.04999999999999998,0.479,0.05
96.55172413793105,109.6774193548387,nan,nan,nan,nan,nan,nan,0.153363,0.05
60.6060606060606,109.6774193548387,nan,nan,nan,nan,nan,nan,0.040512,0.05
43.01075268817204,43.01075268817204,43.01075268817205,43.01075268817205,1.0000000000000002,1.5000000000000002,0.05000000000000002,0.07500000000000001,0.056808,0.05
29.508196721311474,29.508196721311474,29.508196721311474,29.508196721311474,1,1.5,0.05,0.07500000000000001,0.281251,0.05
54.347826086956516,54.347826086956516,54.347826086956516,54.347826086956516,1,1.5,0.05,0.07500000000000001,0.485822,0.05
70.4225352112676,54.347826086956516,nan,nan,nan,nan,nan,nan,0.235441,0.05
48.78048780487805,54.347826086956516,nan,nan,nan,nan,nan,nan,0.08229,0.05
32.78688524590164,32.78688524590164,32.786885245901644,32.786885245901644,1.0000000000000002,1.5000000000000002,0.05000000000000002,0.07500000000000001,0.052173,0.05
20.304568527918782,20.304568527918782,20.304568527918782,20.304568527918782,1,1.5,0.05,0.07500000000000001,0.182219,0.05
27.397260273972602,27.397260273972602,27.397260273972602,27.397260273972602,1,1.5,0.05,0.07500000000000001,0.424036,0.05
71.42857142857143,27.397260273972602,nan,nan,nan,nan,nan,nan,0.204064,0.05
