now,probe_cwnd_before,probe_min_qdel_before,probe_min_qdel_during,probe_excess_amount,probe_excess_qdel,communicated_flow_count,round_max_cruise_rate,bandwidth_estimate,latest_cruise_rate,flow_count_estimate,target_cwnd,probe_cwnd_after
5011000,22.50,14000,65000,52,51000,1.30,1000.00,1019.61,920.00,1.02,19.76,19.76
25629000,20.00,12000,56000,44,44000,1.20,909.09,1000.00,909.09,1.10,19.09,19.09
46395000,20.00,14000,61000,47,47000,1.40,833.33,1000.00,869.57,1.20,18.33,18.33
67170000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,826.09,1.21,18.26,18.26
87963000,19.00,13000,57000,43,44000,1.30,826.09,977.27,703.70,1.18,18.03,18.03
108833000,19.00,13000,53000,40,40000,0.90,1000.00,1000.00,863.64,1.00,20.00,20.00
129635000,20.00,14000,61000,47,47000,1.40,833.33,1000.00,909.09,1.20,18.33,18.33
150488000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,826.09,1.21,18.26,18.26
171336000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,826.09,1.21,18.26,18.26
192194000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,863.64,1.21,18.26,18.26
212985000,19.00,13000,53000,40,40000,0.90,1000.00,1000.00,863.64,1.00,20.00,20.00
233790000,20.00,14000,61000,47,47000,1.40,833.33,1000.00,909.09,1.20,18.33,18.33
254540000,19.00,12000,55000,42,43000,1.20,863.64,976.74,863.64,1.13,18.40,18.40
275371000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,826.09,1.21,18.26,18.26
296221000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,863.64,1.21,18.26,18.26
317005000,19.00,13000,53000,40,40000,1.20,826.09,1000.00,863.64,1.21,19.09,19.09
337937000,20.00,10000,52000,40,42000,1.00,1000.00,952.38,833.33,1.00,20.00,20.00
358740000,20.00,14000,61000,47,47000,1.40,833.33,1000.00,869.57,1.20,18.33,18.33
379556000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,703.70,1.21,18.26,18.26
400439000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,703.70,1.21,18.26,18.26
421299000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,863.64,1.21,18.26,18.26
442119000,19.00,13000,53000,40,40000,0.90,1000.00,1000.00,863.64,1.00,20.00,20.00
462931000,20.00,14000,61000,47,47000,1.40,833.33,1000.00,869.57,1.20,18.33,18.33
483798000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,703.70,1.21,18.26,18.26
504615000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,863.64,1.21,18.26,18.26
525390000,19.00,12000,55000,42,43000,1.20,863.64,976.74,863.64,1.13,18.40,18.40
546144000,19.00,12000,51000,39,39000,1.10,863.64,1000.00,863.64,1.16,19.52,19.52
566920000,20.00,14000,69000,47,55000,1.40,833.33,854.55,769.23,1.03,16.88,16.88
587359000,17.00,10000,44000,34,34000,1.00,850.00,1000.00,894.74,1.18,18.50,18.50
608098000,19.00,12000,54000,42,42000,1.20,863.64,1000.00,863.64,1.16,18.64,18.64
628857000,19.00,12000,54000,42,42000,1.20,863.64,1000.00,863.64,1.16,18.64,18.64
649612000,19.00,12000,55000,42,43000,1.20,863.64,976.74,863.64,1.13,18.40,18.40
670375000,19.00,9000,53000,40,44000,0.90,1000.00,909.09,863.64,1.00,20.00,20.00
691097000,20.00,14000,61000,47,47000,1.40,833.33,1000.00,909.09,1.20,18.33,18.33
711931000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,703.70,1.21,18.26,18.26
732774000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,826.09,1.21,18.26,18.26
753681000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,703.70,1.21,18.26,18.26
774526000,19.00,9000,53000,40,44000,0.90,1000.00,909.09,863.64,1.00,20.00,20.00
795249000,20.00,14000,61000,47,47000,1.40,833.33,1000.00,869.57,1.20,18.33,18.33
816086000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,703.70,1.21,18.26,18.26
836953000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,826.09,1.21,18.26,18.26
857796000,19.00,12000,55000,42,43000,1.20,863.64,976.74,826.09,1.13,18.40,18.40
878546000,19.00,12000,53000,40,41000,0.90,1000.00,975.61,863.64,1.00,20.00,20.00
899315000,20.00,14000,61000,47,47000,1.40,833.33,1000.00,909.09,1.20,18.33,18.33
920161000,19.00,13000,56000,43,43000,1.30,826.09,1000.00,863.64,1.21,18.26,18.26
941073000,19.00,14000,59000,45,45000,1.40,791.67,1000.00,791.67,1.26,17.92,17.92
961965000,18.00,12000,52000,40,40000,1.20,818.18,1000.00,818.18,1.22,18.18,18.18
982817000,19.00,13000,53000,40,40000,0.90,1000.00,1000.00,863.64,1.00,20.00,20.00
