start_time,start_tot_tx,start_tot_rx,start_tot_ld,start_seq,end_time,end_tot_tx,end_tot_rx,end_tot_ld,end_seq,duration,acked,ack_rate,probe_ongoing
10000,1,1,0,1,23000,4,2,0,2,13000,1,76.92,false
23000,4,2,0,2,33000,10,5,0,5,10000,3,300.00,false
33000,10,5,0,5,44000,22,11,0,11,11000,6,545.45,false
44000,22,11,0,11,59000,46,23,0,23,15000,12,800.00,false
59000,46,23,0,23,89000,94,47,0,47,30000,24,800.00,false
89000,94,47,0,47,143000,119,95,0,95,54000,48,888.89,false
146000,122,98,0,98,171000,147,123,0,123,25000,25,1000.00,false
171000,147,123,0,123,196000,172,148,0,148,25000,25,1000.00,false
196000,172,148,0,148,224000,197,173,0,173,28000,25,892.86,false
224000,197,173,0,173,252000,222,198,0,198,28000,25,892.86,false
252000,222,198,0,198,277000,247,223,0,223,25000,25,1000.00,false
277000,247,223,0,223,304000,272,248,0,248,27000,25,925.93,false
304000,272,248,0,248,333000,297,273,0,273,29000,25,862.07,false
333000,297,273,0,273,358000,322,298,0,298,25000,25,1000.00,false
358000,322,298,0,298,384000,347,323,0,323,26000,25,961.54,false
384000,347,323,0,323,412000,372,348,0,348,28000,25,892.86,false
412000,372,348,0,348,439000,397,373,0,373,27000,25,925.93,false
439000,397,373,0,373,465000,422,398,0,398,26000,25,961.54,false
465000,422,398,0,398,492000,447,423,0,423,27000,25,925.93,false
492000,447,423,0,423,520000,472,448,0,448,28000,25,892.86,false
520000,472,448,0,448,546000,497,473,0,473,26000,25,961.54,false
546000,497,473,0,473,573000,522,498,0,498,27000,25,925.93,false
573000,522,498,0,498,600000,547,523,0,523,27000,25,925.93,false
600000,547,523,0,523,627000,572,548,0,548,27000,25,925.93,false
627000,572,548,0,548,653000,597,573,0,573,26000,25,961.54,false
653000,597,573,0,573,681000,622,598,0,598,28000,25,892.86,false
681000,622,598,0,598,707000,647,623,0,623,26000,25,961.54,false
707000,647,623,0,623,734000,672,648,0,648,27000,25,925.93,false
734000,672,648,0,648,761000,697,673,0,673,27000,25,925.93,false
761000,697,673,0,673,788000,722,698,0,698,27000,25,925.93,false
788000,722,698,0,698,815000,747,723,0,723,27000,25,925.93,false
815000,747,723,0,723,842000,772,748,0,748,27000,25,925.93,false
842000,772,748,0,748,869000,797,773,0,773,27000,25,925.93,false
869000,797,773,0,773,896000,822,798,0,798,27000,25,925.93,false
896000,822,798,0,798,922000,847,823,0,823,26000,25,961.54,false
922000,847,823,0,823,949000,872,848,0,848,27000,25,925.93,false
949000,872,848,0,848,976000,897,873,0,873,27000,25,925.93,false
976000,897,873,0,873,1003000,922,898,0,898,27000,25,925.93,false
1003000,922,898,0,898,1030000,947,923,0,923,27000,25,925.93,false
1030000,947,923,0,923,1057000,972,948,0,948,27000,25,925.93,false
1057000,972,948,0,948,1084000,997,973,0,973,27000,25,925.93,false
1084000,997,973,0,973,1111000,1022,998,0,998,27000,25,925.93,false
1111000,1022,998,0,998,1137000,1047,1023,0,1023,26000,25,961.54,false
1137000,1047,1023,0,1023,1164000,1072,1048,0,1048,27000,25,925.93,false
1164000,1072,1048,0,1048,1191000,1097,1073,0,1073,27000,25,925.93,false
1191000,1097,1073,0,1073,1218000,1122,1098,0,1098,27000,25,925.93,false
1218000,1122,1098,0,1098,1245000,1147,1123,0,1123,27000,25,925.93,false
1245000,1147,1123,0,1123,1272000,1172,1148,0,1148,27000,25,925.93,false
1272000,1172,1148,0,1148,1299000,1197,1173,0,1173,27000,25,925.93,false
1299000,1197,1173,0,1173,1326000,1222,1198,0,1198,27000,25,925.93,false
1326000,1222,1198,0,1198,1352000,1247,1223,0,1223,26000,25,961.54,false
1352000,1247,1223,0,1223,1379000,1272,1248,0,1248,27000,25,925.93,false
1379000,1272,1248,0,1248,1406000,1297,1273,0,1273,27000,25,925.93,false
1406000,1297,1273,0,1273,1433000,1322,1298,0,1298,27000,25,925.93,false
