time,event,cwnd
10000,"""SlowStart""",3.00
23000,"""SlowStart""",4.00
25000,"""SlowStart""",5.00
27000,"""SlowStart""",6.00
33000,"""SlowStart""",7.00
35000,"""SlowStart""",8.00
36000,"""SlowStart""",9.00
37000,"""SlowStart""",10.00
38000,"""SlowStart""",11.00
39000,"""SlowStart""",12.00
44000,"""SlowStart""",13.00
45000,"""SlowStart""",14.00
47000,"""SlowStart""",15.00
48000,"""SlowStart""",16.00
49000,"""SlowStart""",17.00
50000,"""SlowStart""",18.00
51000,"""SlowStart""",19.00
52000,"""SlowStart""",20.00
54000,"""SlowStart""",21.00
55000,"""SlowStart""",22.00
56000,"""SlowStart""",23.00
57000,"""SlowStart""",24.00
59000,"""SlowStart""",25.00
60000,"""SlowStart""",26.00
61000,"""SlowStart""",27.00
62000,"""SlowStart""",28.00
63000,"""SlowStart""",29.00
65000,"""SlowStart""",30.00
66000,"""SlowStart""",31.00
67000,"""SlowStart""",32.00
68000,"""SlowStart""",33.00
69000,"""SlowStart""",34.00
70000,"""SlowStart""",35.00
71000,"""SlowStart""",36.00
72000,"""SlowStart""",37.00
73000,"""SlowStart""",38.00
74000,"""SlowStart""",39.00
75000,"""SlowStart""",40.00
76000,"""SlowStart""",41.00
77000,"""SlowStart""",42.00
78000,"""SlowStart""",43.00
79000,"""SlowStart""",44.00
80000,"""SlowStart""",45.00
81000,"""SlowStart""",46.00
82000,"""SlowStart""",47.00
83000,"""SlowStart""",48.00
84000,"""SlowStart""",49.00
85000,"""SlowStart""",50.00
86000,"""SlowStart""",51.00
87000,"""SlowStart""",52.00
88000,"""SlowStart""",53.00
89000,"""SlowStart""",54.00
90000,"""SlowStart""",55.00
91000,"""SlowStart""",56.00
92000,"""SlowStart""",57.00
93000,"""SlowStart""",58.00
95000,"""SlowStart""",59.00
96000,"""SlowStartEnd""",29.50
8867000,"""ProbeGain""",109.50
9399000,"""ProbeDrain""",29.50
9551000,"""ProbeUpdate""",23.00
29911000,"""ProbeGain""",75.00
30436000,"""ProbeDrain""",23.00
30545000,"""ProbeUpdate""",20.00
50674000,"""ProbeGain""",60.00
51196000,"""ProbeDrain""",20.00
51290000,"""ProbeUpdate""",20.00
71520000,"""ProbeGain""",60.00
72043000,"""ProbeDrain""",20.00
72139000,"""ProbeUpdate""",20.00
92380000,"""ProbeGain""",60.00
92904000,"""ProbeDrain""",20.00
93001000,"""ProbeUpdate""",20.00
113263000,"""ProbeGain""",60.00
113786000,"""ProbeDrain""",20.00
113882000,"""ProbeUpdate""",20.00
134120000,"""ProbeGain""",60.00
134644000,"""ProbeDrain""",20.00
134741000,"""ProbeUpdate""",20.00
154926000,"""ProbeGain""",60.00
155449000,"""ProbeDrain""",20.00
155546000,"""ProbeUpdate""",20.00
175810000,"""ProbeGain""",60.00
176333000,"""ProbeDrain""",20.00
176430000,"""ProbeUpdate""",20.00
196689000,"""ProbeGain""",60.00
197212000,"""ProbeDrain""",20.00
197308000,"""ProbeUpdate""",20.00
217529000,"""ProbeGain""",60.00
218052000,"""ProbeDrain""",20.00
218148000,"""ProbeUpdate""",20.00
238388000,"""ProbeGain""",60.00
238911000,"""ProbeDrain""",20.00
239007000,"""ProbeUpdate""",20.00
259184000,"""ProbeGain""",60.00
259707000,"""ProbeDrain""",20.00
259802000,"""ProbeUpdate""",20.00
280052000,"""ProbeGain""",60.00
280575000,"""ProbeDrain""",20.00
280672000,"""ProbeUpdate""",20.00
300936000,"""ProbeGain""",60.00
301458000,"""ProbeDrain""",20.00
301555000,"""ProbeUpdate""",20.00
321809000,"""ProbeGain""",60.00
322333000,"""ProbeDrain""",20.00
322430000,"""ProbeUpdate""",20.00
342688000,"""ProbeGain""",60.00
343212000,"""ProbeDrain""",20.00
343308000,"""ProbeUpdate""",20.00
363555000,"""ProbeGain""",60.00
364078000,"""ProbeDrain""",20.00
364175000,"""ProbeUpdate""",20.00
384359000,"""ProbeGain""",60.00
384884000,"""ProbeDrain""",20.00
384981000,"""ProbeUpdate""",20.00
405213000,"""ProbeGain""",60.00
405736000,"""ProbeDrain""",20.00
405834000,"""ProbeUpdate""",20.00
426100000,"""ProbeGain""",60.00
426623000,"""ProbeDrain""",20.00
426719000,"""ProbeUpdate""",20.00
446980000,"""ProbeGain""",60.00
447502000,"""ProbeDrain""",20.00
