time,tot_tx,tot_rx,tot_ld,cum_ack,rtt,probe_ongoing,is_part_of_excess_duration,cwnd,inflight
13000,2,1,0,1,13000,false,false,2.00,1
26000,4,2,0,2,13500,false,false,3.00,2
29000,6,3,0,3,14334,false,false,4.00,3
31000,8,4,0,4,14168,false,false,5.00,4
40000,10,5,0,5,14000,false,false,6.00,5
43000,12,6,0,6,15375,false,false,7.00,6
46000,14,7,0,7,17000,false,false,8.00,7
53000,16,8,0,8,22700,false,false,9.00,8
58000,18,9,0,9,26617,false,false,10.00,9
64000,20,10,0,10,31534,false,false,11.00,10
94000,22,11,0,11,54000,false,false,12.00,11
100000,22,12,0,12,59072,false,false,6.00,10
119000,22,13,0,13,76000,false,false,6.00,9
138000,22,14,0,14,94188,false,false,6.00,8
153000,22,15,0,15,107000,false,false,6.00,7
159000,22,16,0,16,112278,false,false,6.00,6
174000,22,17,0,17,121000,false,false,6.00,5
176000,23,18,0,18,122350,false,false,6.00,5
178000,24,19,0,19,120000,false,false,6.00,5
180000,25,20,0,20,121410,false,false,6.00,5
182000,26,21,0,21,118000,false,false,6.00,5
185000,27,22,0,22,120459,false,false,6.00,5
254000,28,23,0,23,80000,false,false,6.00,5
260000,29,24,0,24,84000,false,false,6.00,5
266000,30,25,0,25,88000,false,false,6.00,5
272000,31,26,0,26,92000,false,false,6.00,5
278000,32,27,0,27,96000,false,false,6.00,5
285000,33,28,0,28,100000,false,false,6.00,5
334000,34,29,0,29,80000,false,false,6.00,5
344000,35,30,0,30,84000,false,false,6.00,5
354000,36,31,0,31,88000,false,false,6.00,5
364000,37,32,0,32,92000,false,false,6.00,5
370000,38,33,0,33,92000,false,false,6.00,5
378000,39,34,0,34,93000,false,false,6.00,5
414000,40,35,0,35,80000,false,false,6.00,5
428000,41,36,0,36,84000,false,false,6.00,5
442000,42,37,0,37,88000,false,false,6.00,5
452000,43,38,0,38,88000,false,false,6.00,5
460000,44,39,0,39,90000,false,false,6.00,5
470000,45,40,0,40,92000,false,false,6.00,5
496000,46,41,0,41,82000,false,false,6.00,5
512000,47,42,0,42,84000,false,false,6.00,5
527000,48,43,0,43,85000,false,false,6.00,5
540000,49,44,0,44,88000,false,false,6.00,5
548000,50,45,0,45,88000,false,false,6.00,5
559000,51,46,0,46,89000,false,false,6.00,5
580000,52,47,0,47,84000,false,false,6.00,5
596000,53,48,0,48,84000,false,false,6.00,5
612000,54,49,0,49,85000,false,false,6.00,5
626000,55,50,0,50,86000,false,false,6.00,5
636000,56,51,0,51,88000,false,false,6.00,5
647000,57,52,0,52,88000,false,false,6.00,5
666000,58,53,0,53,86000,false,false,6.00,5
680000,59,54,0,54,84000,false,false,6.00,5
697000,60,55,0,55,85000,false,false,6.00,5
711000,61,56,0,56,85000,false,false,6.00,5
724000,62,57,0,57,88000,false,false,6.00,5
735000,63,58,0,58,88000,false,false,6.00,5
752000,64,59,0,59,86000,false,false,6.00,5
765000,65,60,0,60,85000,false,false,6.00,5
782000,66,61,0,61,85000,false,false,6.00,5
796000,67,62,0,62,85000,false,false,6.00,5
810000,68,63,0,63,86000,false,false,6.00,5
823000,69,64,0,64,88000,false,false,6.00,5
838000,70,65,0,65,86000,false,false,6.00,5
851000,71,66,0,66,86000,false,false,6.00,5
